id	text	buttons	intents	sounds	image
307	Поздравляем, Михаил тоже выбрал тебя.	[('Уже 2 месяца в отношениях', 308, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
308	Вы в отношениях уже 2 месяца. Михаил оберегает и опекает тебя. Часто интересуется, где ты и расстраивается, когда ты долго не отвечаешь. Михаил подарил тебе часы на годовщину. Неожиданно для себя ты нашла там GPS-трекер. Уточнив у Миши, что это такое, он ответил, что партнеры должны заботиться друг о друге. Он хочет всегда знать, где ты, чтобы оберегать.	[('Оставаться в отношениях', 309, True), ('Расстаться с Михаилом', 310, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/04c38ed3-779f-43bc-9b38-8bff19760a05.opus'>	
309	Узнать характеристику героя?	[('Да', 311, True), ('Нет', 312, True)]			
310	Узнать характеристику героя?	[('Да', 313, True), ('Нет', 314, True)]			
311	У Михала тревожный тип привязанности. Он легко сливается с партнером. Мама очень опекала Михаила, и теперь он пытается построить такие же близкие отношения. Ему очень тяжело чувствовать отвержение. Он заботливый и гиперопекающий, такой же, как его мама была с ним. Михаил считает, что только такие отношения могут быть крепкими. Он не сможет существовать в союзе, где у второй половины есть своя жизнь без него. Это пугает Михаила. К сожалению, он не осознает, что это проблема.	[('Попробовать еще раз с Михаилом', 272, True), ('Выйти с сайта знакомств', 0, True)]			
312	Выбери действие:	[('Попробовать еще раз с Михаилом', 272, True), ('Выйти с сайта знакомств', 0, True)]			
313	У Михала тревожный тип привязанности. Он легко сливается с партнером. Мама очень опекала Михаила, и теперь он пытается построить такие же близкие отношения. Ему очень тяжело чувствовать отвержение. Он заботливый и гиперопекающий, такой же, как его мама была с ним. Михаил считает, что только такие отношения могут быть крепкими. Он не сможет существовать в союзе, где у второй половины есть своя жизнь без него. Это пугает Михаила. К сожалению, он не осознает, что это проблема.	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
314	Выбери действие:	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
315	Вы просидели до самой ночи, общаясь обо всем на свете. Михаил часто стремился с чем-то помочь или поддержать.	[('Выбрать спутником жизни', 307, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
316	Свидание действительно было хорошим. Позже в переписке Михаил иногда казался слишком навязчивым и опекающим. Но, в целом, тебя все устраивало. Ты старалась не огорчать его.	[('Выбрать спутником жизни', 307, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
317	Знаки внимания Михаила казались тебе слишком навязчивыми и "одержимыми". А его смущали твои ответы, ему казалось, что ты обесцениваешь его. Именно поэтому вы просто встали и ушли. После этого свидания вы больше не общались.	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
318	Вы досмотрели фильм.	[('Узнать, что будет дальше', 319, True)]			
319	Ну как тебе сеанс? Давай сходим посидим в кафе и обсудим фильм. Я куплю тебе кофе!	[('Хороший фильм. Пойдем)', 321, True), ('Интересный фильм. Но мне надо домой(', 320, True)]			
320	Ну пожалуйста! Так не хочется расставаться	[('Окей', 331, True), ('Мне правда надо идти(', 322, True)]			
321	Вы просидели до самой ночи, общаясь обо всем на свете. Михаил часто стремился с чем-то помочь или поддержать.	[('Выбрать спутником жизни', 307, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
322	Знаки внимания Михаила казались тебе слишком навязчивыми и "одержимыми". А его смущали твои ответы, ему казалось, что ты обесцениваешь его. После этого свидания вы больше не общались.	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
323	Вы смотрите фильм. Твоя рука лежит на подлокотнике. И вдруг Михаил опускает на нее свою...	[('Убрать  руку', 324, True), ('Оставить руку', 325, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/06a7712a-6542-4aff-bee2-4c2536d4fdf5.opus'>	
324	Михаила это удивило, но он ничего не сказал.	[('Узнать, что будет дальше', 333, True)]			
325	Михаил посмотрел на тебя и мило улыбнулся.	[('Узнать, что будет дальше', 326, True)]			
326	Ну как тебе сеанс? Давай сходим посидим в кафе и обсудим фильм. Я куплю тебе кофе!	[('Хороший фильм. Пойдем)', 327, True), ('Интересный фильм. Но мне надо домой(', 328, True)]			
327	Вы просидели до самой ночи, общаясь обо всем на свете. Михаил часто стремился с чем-то помочь или поддержать.	[('Выбрать спутником жизни', 307, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
328	Ну пожалуйста! Так не хочется расставаться	[('Окей', 330, True), ('Мне правда надо идти(', 329, True)]			
329	Свидание действительно было хорошим. Позже в переписке Михаил иногда казался слишком навязчивым и опекающим. Но, в целом, тебя все устраивало. Ты старалась не огорчать его.	[('Выбрать спутником жизни', 307, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
330	Вы просидели до самой ночи, общаясь обо всем на свете. Михаил часто стремился с чем-то помочь или поддержать.	[('Выбрать спутником жизни', 307, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
331	Свидание действительно было хорошим. Позже в переписке Михаил иногда казался слишком навязчивым и опекающим. Но, в целом, тебя все устраивало. Ты старалась не огорчать его.	[('Выбрать спутником жизни', 332, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
332	К сожалению, Михаил не готов к отношениям с тобой.	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
333	Ну как тебе сеанс? Давай сходим посидим в кафе и обсудим фильм. Я куплю тебе кофе!	[('Хороший фильм. Пойдем)', 334, True), ('Интересный фильм. Но мне надо домой(', 335, True)]			
334	Свидание действительно было хорошим. Позже в переписке Михаил иногда казался слишком навязчивым и опекающим. Но, в целом, тебя все устраивало. Ты старалась не огорчать его.	[('Выбрать спутником жизни', 307, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
335	Ну пожалуйста! Так не хочется расставаться	[('Окей', 336, True), ('Мне правда надо идти(', 337, True)]			
336	Вам было интересно пообщаться. Но Михаил иногда казался слишком навязчивым и опекающим. Тебе было сложно принимать это.	[('Выбрать спутником жизни', 332, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
337	Знаки внимания Михаила казались тебе слишком навязчивыми и "одержимыми". А его смущали твои ответы, ему казалось, что ты обесцениваешь его. После этого свидания вы больше не общались.	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
338	Ну окей, давай	[('Расскажешь подробнее о работе?', 109, True)]			
339	Рад видеть тебя снова! Осталась незаконченная игра. Для перехода к ней просто нажми "Продолжить игру". Если хочется начать заново, выбери вариант "Начать заново". Приятной игры :)	[('Продолжить игру', 2222, True), ('Начать заново', 0, True)]			1030494/cac8374f9742360eb3f1
340					
341					
342					
343					
344					
345					
346					
347					
348					
349					
350					
351					
352					
353					
354					
355					
356					
357					
358					
359					
360					
361					
362					
363					
364					
365					
366					
367					
368					
369					
370					
371					
372					
373					
374					
375					
376					
377					
378					
379					
380					
381					
382					
383					
384					
385					
386					
387					
388					
389					
390					
391					
392					
393					
394					
395					
396					
397					
398					
399					
400					
401					
402					
403					
404					
405					
406					
407					
408					
409					
410					
411					
412					
413					
414					
415					
416					
417					
418					
419					
420					
421					
422					
423					
424					
425					
426					
427					
428					
429					
430					
431					
432					
433					
434					
435					
436					
437					
438					
439					
440					
441					
442					
443					
444					
445					
446					
447					
448					
449					
450					
451					
452					
453					
454					
455					
456					
457					
458					
459					
460					
461					
462					
463					
464					
465					
466					
467					
468					
469					
470					
471					
472					
473					
474					
475					
476					
477					
478					
479					
480					
481					
482					
483					
484					
485					
486					
487					
488					
489					
490					
491					
492					
493					
494					
495					
496					
497	К сожалению, я еще не научился работать с данным выражением. Пожалуйста, смотри варианты ответа кнопках и давай ответ голосом или текстом в соответствии с ними.				
498	К сожалению, я еще не научился работать с данным выражением. Пожалуйста, введи букву в формате "а" без кавычек и дополнительных символов.				
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
980					
981					
982					
983					
984					
985					
986					
987					
988					
989					
990					
991					
992					
993					
994					
995					
996					
997					
998					
